"","gene","mlcalc","hypo","value"
"624","ycf3","IQTree","Hypo 4",0.00375099986670221
"314","psbF","RAxML","Hypo 2",0.00370045042303411
"315","psbF","RAxML","Hypo 3",0.00370045042303411
"316","psbF","RAxML","Hypo 4",0.00370045042303411
"233","psaA","RAxML","Hypo 1",0.00369639463982586
"234","psaA","RAxML","Hypo 2",0.00369639463982586
"621","ycf3","IQTree","Hypo 1",0.00367151195013716
"562","rps2","RAxML","Hypo 2",0.00366924152016916
"372","psbN","RAxML","Hypo 4",0.00366651514838454
"49","atpI","RAxML","Hypo 1",0.00362537354397217
"281","psbB","RAxML","Hypo 1",0.00360555127546399
"402","rpl14","RAxML","Hypo 2",0.00349475797922164
"154","ndhH","RAxML","Hypo 2",0.0034698703145795
"527","rps14","IQTree","Hypo 3",0.00345880518869354
"528","rps14","IQTree","Hypo 4",0.00345880518869354
"525","rps14","IQTree","Hypo 1",0.00340049016074644
"385","psbZ","RAxML","Hypo 1",0.0034
"455","rpl32","IQTree","Hypo 3",0.00332270973754856
"282","psbB","RAxML","Hypo 2",0.00329292170167062
"246","psaB","IQTree","Hypo 2",0.0032654759734736
"379","psbT","RAxML","Hypo 3",0.00326074122452754
"380","psbT","RAxML","Hypo 4",0.00326074122452754
"302","psbD","IQTree","Hypo 2",0.00322839485399995
"271","psaJ","IQTree","Hypo 3",0.00321921315438002
"618","ycf3","RAxML","Hypo 2",0.00321455025366432
"74","clpP","RAxML","Hypo 2",0.00320208265560609
"283","psbB","RAxML","Hypo 3",0.00318956632370818
"284","psbB","RAxML","Hypo 4",0.00318956632370818
"619","ycf3","RAxML","Hypo 3",0.0031785741037977
"620","ycf3","RAxML","Hypo 4",0.0031785741037977
"496","rpoC1","IQTree","Hypo 4",0.00317493831961084
"119","ndhC","IQTree","Hypo 3",0.00316438514301489
"120","ndhC","IQTree","Hypo 4",0.00316438514301489
"256","psaC","IQTree","Hypo 4",0.00315330514434194
"247","psaB","IQTree","Hypo 3",0.00311929479209644
"248","psaB","IQTree","Hypo 4",0.00307300070506554
"118","ndhC","IQTree","Hypo 2",0.00305505046330389
"272","psaJ","IQTree","Hypo 4",0.00305122926047847
"493","rpoC1","IQTree","Hypo 1",0.0030237945256471
"617","ycf3","RAxML","Hypo 1",0.00302379452564709
"601","ycf1","RAxML","Hypo 1",0.00298161030317511
"393","rbcL","RAxML","Hypo 1",0.00297040962382856
"626","ycf4","RAxML","Hypo 2",0.00297040962382856
"495","rpoC1","IQTree","Hypo 3",0.00296550726408372
"627","ycf4","RAxML","Hypo 3",0.00295465734053883
"628","ycf4","RAxML","Hypo 4",0.00295465734053883
"465","rpl36","RAxML","Hypo 1",0.00293087017795057
"174","ndhJ","IQTree","Hypo 2",0.0029280255007997
"175","ndhJ","IQTree","Hypo 3",0.0029280255007997
"176","ndhJ","IQTree","Hypo 4",0.0029280255007997
"253","psaC","IQTree","Hypo 1",0.00292631736715848
"425","rpl20","RAxML","Hypo 1",0.00289194283023253
"289","psbC","RAxML","Hypo 1",0.00288675134594813
"143","ndhF","IQTree","Hypo 3",0.00285890421898554
"144","ndhF","IQTree","Hypo 4",0.00285890421898554
"451","rpl32","RAxML","Hypo 3",0.00285014619508076
"452","rpl32","RAxML","Hypo 4",0.00285014619508076
"603","ycf1","RAxML","Hypo 3",0.00282901631902917
"22","atpB","IQTree","Hypo 2",0.00281128677536343
"481","rpoB","RAxML","Hypo 1",0.00281128677536343
"373","psbN","IQTree","Hypo 1",0.00280416357107308
"450","rpl32","RAxML","Hypo 2",0.00276827262626594
"466","rpl36","RAxML","Hypo 2",0.00273631852738919
"606","ycf1","IQTree","Hypo 2",0.00273191019862171
"93","matK","IQTree","Hypo 1",0.00271538824725551
"449","rpl32","RAxML","Hypo 1",0.00271538824725551
"397","rbcL","IQTree","Hypo 1",0.00270246800782791
"142","ndhF","IQTree","Hypo 2",0.00269505720409295
"475","rpoA","RAxML","Hypo 3",0.00265769323537035
"476","rpoA","RAxML","Hypo 4",0.00265769323537035
"82","concatenated_125spp","RAxML","Hypo 2",0.00264575131106459
"213","petG","IQTree","Hypo 1",0.00264575131106459
"214","petG","IQTree","Hypo 2",0.00264575131106459
"216","petG","IQTree","Hypo 4",0.00264575131106459
"409","rpl16","RAxML","Hypo 1",0.00263129245808975
"474","rpoA","RAxML","Hypo 2",0.00263122278291545
"21","atpB","IQTree","Hypo 1",0.00262741951985847
"178","ndhK","RAxML","Hypo 2",0.00262741951985847
"179","ndhK","RAxML","Hypo 3",0.00262741951985847
"180","ndhK","RAxML","Hypo 4",0.00262741951985847
"122","ndhD","RAxML","Hypo 2",0.00259679289380831
"518","rps12","IQTree","Hypo 2",0.00257746645629644
"519","rps12","IQTree","Hypo 3",0.00257746645629644
"520","rps12","IQTree","Hypo 4",0.00257746645629644
"78","clpP","IQTree","Hypo 2",0.00254820198048219
"298","psbD","RAxML","Hypo 2",0.00252388589282479
"79","clpP","IQTree","Hypo 3",0.00248461935381123
"607","ycf1","IQTree","Hypo 3",0.00248260615751539
"589","rps7","IQTree","Hypo 1",0.0024704925284917
"590","rps7","IQTree","Hypo 2",0.0024704925284917
"591","rps7","IQTree","Hypo 3",0.0024704925284917
"592","rps7","IQTree","Hypo 4",0.0024704925284917
"80","clpP","IQTree","Hypo 4",0.00245831920899897
"297","psbD","RAxML","Hypo 1",0.00245153013442625
"177","ndhK","RAxML","Hypo 1",0.00238956062906971
"299","psbD","RAxML","Hypo 3",0.00231156512634477
"300","psbD","RAxML","Hypo 4",0.00231156512634477
"215","petG","IQTree","Hypo 3",0.00230940107675851
"206","petD","IQTree","Hypo 2",0.00228691932520585
"207","petD","IQTree","Hypo 3",0.00228691932520585
"208","petD","IQTree","Hypo 4",0.00228691932520585
"608","ycf1","IQTree","Hypo 4",0.00226053091109146
"485","rpoB","IQTree","Hypo 1",0.00226053091109146
"478","rpoA","IQTree","Hypo 2",0.00225462487641145
"480","rpoA","IQTree","Hypo 4",0.00225018517756502
"479","rpoA","IQTree","Hypo 3",0.0022
"259","psaI","RAxML","Hypo 3",0.00214928670338169
"260","psaI","RAxML","Hypo 4",0.00214928670338169
"117","ndhC","IQTree","Hypo 1",0.00213853532431273
"486","rpoB","IQTree","Hypo 2",0.00208166599946613
"487","rpoB","IQTree","Hypo 3",0.00208166599946613
"488","rpoB","IQTree","Hypo 4",0.00208166599946613
"574","rps3","IQTree","Hypo 2",0.00208166599946613
"352","psbK","IQTree","Hypo 4",0.00205507501890645
"137","ndhF","RAxML","Hypo 1",0.00205020324195757
"599","rps8","IQTree","Hypo 3",0.00204205778566621
"600","rps8","IQTree","Hypo 4",0.00204205778566621
"242","psaB","RAxML","Hypo 2",0.00202977831301845
"458","rpl33","RAxML","Hypo 2",0.00200748598998847
"602","ycf1","RAxML","Hypo 2",0.00198578280114753
"604","ycf1","RAxML","Hypo 4",0.00198578280114753
"89","matK","RAxML","Hypo 1",0.00193476958145753
"399","rbcL","IQTree","Hypo 3",0.00190659382145228
"613","ycf2","IQTree","Hypo 1",0.00190003508739532
"293","psbC","IQTree","Hypo 1",0.0019
"378","psbT","RAxML","Hypo 2",0.00187409533731167
"395","rbcL","RAxML","Hypo 3",0.00184538162268224
"396","rbcL","RAxML","Hypo 4",0.00184538162268224
"394","rbcL","RAxML","Hypo 2",0.00181876331610246
"490","rpoC1","RAxML","Hypo 2",0.00181475434517549
"243","psaB","RAxML","Hypo 3",0.00180369990112916
"244","psaB","RAxML","Hypo 4",0.00180369990112916
"186","petA","RAxML","Hypo 2",0.00176162803489651
"5","accD","IQTree","Hypo 1",0.00173205080756888
"158","ndhH","IQTree","Hypo 2",0.00172433562085034
"159","ndhH","IQTree","Hypo 3",0.00172433562085034
"160","ndhH","IQTree","Hypo 4",0.00172433562085034
"193","petB","RAxML","Hypo 1",0.0017106431539044
"362","psbM","RAxML","Hypo 2",0.00161326790500937
"363","psbM","RAxML","Hypo 3",0.00161326790500937
"364","psbM","RAxML","Hypo 4",0.00161326790500937
"361","psbM","RAxML","Hypo 1",0.00154765413879631
"631","ycf4","IQTree","Hypo 3",0.00153079500042734
"630","ycf4","IQTree","Hypo 2",0.00153079500042734
"632","ycf4","IQTree","Hypo 4",0.00153079500042734
"6","accD","IQTree","Hypo 2",0.00152752523165195
"521","rps14","RAxML","Hypo 1",0.00152752523165195
"523","rps14","RAxML","Hypo 3",0.00152752523165195
"524","rps14","RAxML","Hypo 4",0.00152752523165195
"303","psbD","IQTree","Hypo 3",0.00151767365837763
"377","psbT","RAxML","Hypo 1",0.00150638640461204
"105","ndhB","RAxML","Hypo 1",0.00149867719450632
"125","ndhD","IQTree","Hypo 1",0.0014882652093405
"110","ndhB","IQTree","Hypo 2",0.00145307719455414
"106","ndhB","RAxML","Hypo 2",0.00145258390463339
"609","ycf2","RAxML","Hypo 1",0.00144683562761405
"111","ndhB","IQTree","Hypo 3",0.00143815854480652
"190","petA","IQTree","Hypo 2",0.00141539158303748
"112","ndhB","IQTree","Hypo 4",0.00141311712182678
"107","ndhB","RAxML","Hypo 3",0.0014047538337137
